"","Year","teamID","num_players","mean_salary","median_salary","sport","Annual_Avg","Inflation_Rate","win_loss"
"310",1996,"NYY",34,1593876.23529412,880000,"MLB",156.85,2.93120419993438,0.567901234567901
"311",1996,"OAK",37,574135.135135135,147500,"MLB",156.85,2.93120419993438,0.481481481481481
"312",1996,"PHI",43,798011.627906977,185000,"MLB",156.85,2.93120419993438,0.41358024691358
"313",1996,"PIT",35,657642.857142857,180000,"MLB",156.85,2.93120419993438,0.450617283950617
"314",1996,"SD",30,944939.066666667,355000,"MLB",156.85,2.93120419993438,0.561728395061728
"315",1996,"SEA",34,1215544.14705882,337500,"MLB",156.85,2.93120419993438,0.524691358024691
"316",1996,"SF",35,1061277.85714286,202500,"MLB",156.85,2.93120419993438,0.419753086419753
"317",1996,"STL",33,1220292.93939394,6e+05,"MLB",156.85,2.93120419993438,0.54320987654321
"318",1996,"TEX",33,1183076.60606061,350000,"MLB",156.85,2.93120419993438,0.555555555555556
"319",1996,"TOR",33,895608.575757576,230000,"MLB",156.85,2.93120419993438,0.45679012345679
"320",1996,"WSH",31,524661.290322581,165000,"MLB",156.85,2.93120419993438,0.54320987654321
"321",1997,"ATL",31,1686403.22580645,250000,"MLB",160.516666666667,2.3376899373074,0.623456790123457
"322",1997,"BAL",29,2017806.89655172,1100000,"MLB",160.516666666667,2.3376899373074,0.604938271604938
"323",1997,"BOS",34,1281139.70588235,575000,"MLB",160.516666666667,2.3376899373074,0.481481481481481
"324",1997,"CHC",32,1317354.15625,350000,"MLB",160.516666666667,2.3376899373074,0.419753086419753
"325",1997,"CIN",40,1244200,362500,"MLB",160.516666666667,2.3376899373074,0.469135802469136
"326",1997,"CLE",31,1832337.41935484,1220000,"MLB",160.516666666667,2.3376899373074,0.530864197530864
"327",1997,"COL",30,1451988.9,425000,"MLB",160.516666666667,2.3376899373074,0.512345679012346
"328",1997,"CWS",36,1603888.88888889,385000,"MLB",160.516666666667,2.3376899373074,0.493827160493827
"329",1997,"DET",29,595586.206896552,310000,"MLB",160.516666666667,2.3376899373074,0.487654320987654
"330",1997,"FLA",31,1570725.80645161,450000,"MLB",160.516666666667,2.3376899373074,NA
"331",1997,"HOU",31,1121854.83870968,412500,"MLB",160.516666666667,2.3376899373074,0.518518518518518
"332",1997,"KC",37,936621.621621622,240000,"MLB",160.516666666667,2.3376899373074,0.41358024691358
"333",1997,"LAA",31,1004370.06451613,575000,"MLB",160.516666666667,2.3376899373074,0.518518518518518
"334",1997,"LAD",30,1512676.8,5e+05,"MLB",160.516666666667,2.3376899373074,0.54320987654321
"335",1997,"MIL",34,695745.235294118,232500,"MLB",160.516666666667,2.3376899373074,0.481481481481481
"336",1997,"MIN",31,1099112.90322581,3e+05,"MLB",160.516666666667,2.3376899373074,0.419753086419753
"337",1997,"NYM",35,1137154.28571429,212000,"MLB",160.516666666667,2.3376899373074,0.54320987654321
"338",1997,"NYY",29,2146260.17241379,1100000,"MLB",160.516666666667,2.3376899373074,0.592592592592593
"339",1997,"OAK",39,615858.974358974,165000,"MLB",160.516666666667,2.3376899373074,0.401234567901235
"340",1997,"PHI",40,916412.5,192500,"MLB",160.516666666667,2.3376899373074,0.419753086419753
"341",1997,"PIT",35,307761.914285714,195000,"MLB",160.516666666667,2.3376899373074,0.487654320987654
"342",1997,"SD",29,1288402.48275862,6e+05,"MLB",160.516666666667,2.3376899373074,0.469135802469136
"343",1997,"SEA",32,1298145.65625,350000,"MLB",160.516666666667,2.3376899373074,0.555555555555556
"344",1997,"SF",32,1112261.8125,508332.5,"MLB",160.516666666667,2.3376899373074,0.555555555555556
"345",1997,"STL",36,1262685.19444444,382500,"MLB",160.516666666667,2.3376899373074,0.450617283950617
"346",1997,"TEX",37,1444563.18918919,285000,"MLB",160.516666666667,2.3376899373074,0.475308641975309
"347",1997,"TOR",33,1426661.60606061,5e+05,"MLB",160.516666666667,2.3376899373074,0.469135802469136
"348",1997,"WSH",31,622435.483870968,220000,"MLB",160.516666666667,2.3376899373074,0.481481481481481
"349",1998,"ATL",32,1912062.5,297500,"MLB",163.008333333333,1.55227909874365,0.650306748466258
"350",1998,"AZ",36,898527.777777778,212000,"MLB",163.008333333333,1.55227909874365,0.398773006134969
"351",1998,"BAL",30,2411854.46666667,1498247.5,"MLB",163.008333333333,1.55227909874365,0.484662576687117
"352",1998,"BOS",33,1719909.09090909,6e+05,"MLB",163.008333333333,1.55227909874365,0.56441717791411
